Laboratório,Horario Aula,PC,Mês,18,19,20,21,22,25,26,27,28
Lab 1,Aula 1,1,Março,0.03693,0.05653,0.04398,0.04776,0.03319,0.04675,0.04084,0.04557,0.04845
Lab 1,Aula 1,2,Março,0.04344,0.0665,0.05174,0.05619,0.03905,0.055,0.04805,0.05361,0.057
Lab 1,Aula 1,3,Março,0.04344,0.0665,0.05174,0.05619,0.03905,0.055,0.04805,0.05361,0.057
Lab 1,Aula 1,4,Março,0.04562,0.06982,0.05433,0.059,0.041,0.05775,0.05045,0.05629,0.05985
Lab 1,Aula 1,5,Março,0.03041,0.04655,0.03622,0.03933,0.02733,0.0385,0.03364,0.03753,0.0399
Lab 1,Aula 1,6,Março,0.04344,0.0665,0.05174,0.05619,0.03905,0.055,0.04805,0.05361,0.057
Lab 1,Aula 1,7,Março,0.03693,0.05653,0.04398,0.04776,0.03319,0.04675,0.04084,0.04557,0.04845
Lab 1,Aula 1,8,Março,0.03258,0.04988,0.03881,0.04214,0.02928,0.04125,0.03604,0.04021,0.04275
Lab 1,Aula 1,9,Março,0.0391,0.05985,0.04657,0.05057,0.03514,0.0495,0.04324,0.04825,0.0513
Lab 1,Aula 1,10,Março,0.05213,0.0798,0.06209,0.06743,0.04686,0.066,0.05766,0.06433,0.0684
Lab 1,Aula 1,11,Março,0.03693,0.05653,0.04398,0.04776,0.03319,0.04675,0.04084,0.04557,0.04845
Lab 1,Aula 1,12,Março,0.03258,0.04988,0.03881,0.04214,0.02928,0.04125,0.03604,0.04021,0.04275
Lab 1,Aula 1,13,Março,0.03041,0.04655,0.03622,0.03933,0.02733,0.0385,0.03364,0.03753,0.0399
Lab 1,Aula 1,14,Março,0.03258,0.04988,0.03881,0.04214,0.02928,0.04125,0.03604,0.04021,0.04275
Lab 1,Aula 1,15,Março,0.04127,0.06317,0.04916,0.05338,0.03709,0.05225,0.04565,0.05093,0.05415
Lab 1,Aula 1,16,Março,0.0391,0.05985,0.04657,0.05057,0.03514,0.0495,0.04324,0.04825,0.0513
Lab 1,Aula 1,17,Março,0.0391,0.05985,0.04657,0.05057,0.03514,0.0495,0.04324,0.04825,0.0513
Lab 1,Aula 1,18,Março,0.0391,0.05985,0.04657,0.05057,0.03514,0.0495,0.04324,0.04825,0.0513
Lab 1,Aula 1,19,Março,0.0391,0.05985,0.04657,0.05057,0.03514,0.0495,0.04324,0.04825,0.0513
Lab 1,Aula 1,20,Março,0.0391,0.05985,0.04657,0.05057,0.03514,0.0495,0.04324,0.04825,0.0513
